                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2242,                  3.604,                 4.2053,                0.00408,                0.59026,                0.00976,                0.00421,                 2.9009,                 3.4412,                  4.126,                0.00064,                0.00064,                0.00064
                      2,                 3.1667,                  3.443,                 4.0358,                0.00401,                0.57505,                0.01386,                0.00459,                 2.8842,                 3.4773,                  4.018,              0.0012871,              0.0012871,              0.0012871
                      3,                 3.1018,                 3.3859,                 3.7416,                0.06862,                0.07201,                0.02084,                0.00607,                 2.9165,                 3.2818,                 3.9305,              0.0019212,              0.0019212,              0.0019212
                      4,                 2.9461,                 3.3173,                 3.5507,                 0.0403,                0.13387,                0.01703,                0.00505,                  2.829,                 5.1368,                 3.6987,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.839,                 3.2994,                 3.3902,                0.05464,                0.09635,                0.01997,                 0.0053,                 2.8357,                 3.7548,                 3.6797,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.7531,                 3.2527,                 3.2946,                0.05374,                0.24442,                0.03312,                0.00918,                 2.5692,                 3.7742,                 3.3119,               0.001901,               0.001901,               0.001901
                      7,                 2.6389,                 3.2005,                 3.1349,                0.09329,                0.10751,                0.03676,                0.00991,                 2.5585,                 3.9663,                 3.2306,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.5166,                 3.1456,                  3.077,                0.08485,                0.13286,                0.04019,                0.01139,                 2.5376,                  5.023,                 3.2882,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4503,                 3.0997,                 2.9899,                0.06617,                0.08722,                0.02713,                0.00846,                 2.3874,                 3.8271,                 3.1884,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.4512,                 3.0331,                  2.968,                0.06099,                0.15619,                0.02837,                 0.0081,                 2.4051,                 4.1922,                 3.1302,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3543,                 2.9679,                 2.8983,                 0.1839,                0.20183,                0.09606,                0.03468,                  2.313,                 3.8301,                 3.0449,               0.001802,               0.001802,               0.001802
                     12,                 2.3041,                 2.9436,                 2.8683,                0.16552,                0.17951,                 0.0991,                  0.031,                 2.2953,                 3.0847,                 3.0336,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2869,                 2.8729,                 2.8027,                0.18718,                0.21704,                0.11543,                0.04463,                  2.217,                 2.8502,                 2.9197,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2816,                 2.7994,                 2.7882,                0.23525,                0.20435,                 0.1293,                0.04621,                 2.2194,                 2.9276,                 2.9492,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1946,                 2.7481,                 2.7393,                0.26464,                0.23327,                0.16083,                0.06162,                 2.1091,                 2.7716,                 2.8382,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1735,                 2.6417,                 2.6972,                0.27712,                0.24746,                0.17727,                0.07299,                  2.137,                 2.7054,                 2.8339,               0.001703,               0.001703,               0.001703
                     17,                 2.0959,                 2.5963,                 2.6345,                0.27096,                0.26978,                 0.1701,                0.06779,                 2.1093,                  2.791,                 2.7966,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1271,                 2.6056,                 2.6372,                0.22722,                0.29919,                0.15996,                0.06249,                 2.1298,                 2.7443,                 2.7981,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.0525,                 2.5323,                 2.5506,                0.27344,                0.33367,                0.19786,                0.07494,                 2.0828,                 2.7877,                 2.7443,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.9577,                 2.4681,                 2.4847,                0.23133,                 0.3286,                0.15581,                0.06585,                 2.0478,                  2.839,                 2.7249,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.9422,                 2.4148,                 2.5114,                0.33257,                0.30776,                0.22263,                0.09894,                 1.9493,                 2.6612,                 2.6312,               0.001604,               0.001604,               0.001604
                     22,                 1.8849,                 2.3711,                 2.4264,                0.35511,                 0.3215,                0.24112,                0.10813,                 1.9162,                 2.5626,                 2.5946,              0.0015842,              0.0015842,              0.0015842
